"name" "status"
"1" "chr1:1001250-1003750" "shared"
"2" "chr1:100537500-100540000" "shared"
"3" "chr1:100895000-100897500" "AD"
"4" "chr1:101235000-101237500" "shared"
"5" "chr1:10258750-10261250" "shared"
"6" "chr1:10313750-10316250" "shared"
"7" "chr1:10316250-10318750" "shared"
"8" "chr1:10380000-10382500" "AD"
"9" "chr1:1038750-1041250" "shared"
"10" "chr1:10388750-10391250" "shared"
"11" "chr1:10391250-10393750" "shared"
"12" "chr1:10395000-10397500" "shared"
"13" "chr1:10401250-10403750" "shared"
"14" "chr1:10443750-10446250" "shared"
"15" "chr1:10447500-10450000" "shared"
"16" "chr1:10456250-10458750" "shared"
"17" "chr1:10458750-10461250" "shared"
"18" "chr1:10463750-10466250" "shared"
"19" "chr1:10468750-10471250" "shared"
"20" "chr1:10493750-10496250" "shared"
"21" "chr1:10628750-10631250" "Ctrl"
"22" "chr1:10636250-10638750" "shared"
"23" "chr1:108158750-108161250" "AD"
"24" "chr1:108691250-108693750" "shared"
"25" "chr1:108875000-108877500" "shared"
"26" "chr1:108943750-108946250" "shared"
"27" "chr1:109037500-109040000" "shared"
"28" "chr1:109112500-109115000" "shared"
"29" "chr1:109216250-109218750" "shared"
"30" "chr1:109217500-109220000" "shared"
"31" "chr1:109218750-109221250" "shared"
"32" "chr1:109237500-109240000" "AD"
"33" "chr1:109265000-109267500" "Ctrl"
"34" "chr1:109273750-109276250" "shared"
"35" "chr1:109276250-109278750" "shared"
"36" "chr1:109343750-109346250" "shared"
"37" "chr1:109482500-109485000" "shared"
"38" "chr1:109487500-109490000" "AD"
"39" "chr1:109491250-109493750" "AD"
"40" "chr1:109618750-109621250" "shared"
"41" "chr1:109631250-109633750" "AD"
"42" "chr1:109660000-109662500" "shared"
"43" "chr1:109710000-109712500" "shared"
"44" "chr1:109921250-109923750" "AD"
"45" "chr1:109982500-109985000" "shared"
"46" "chr1:110041250-110043750" "AD"
"47" "chr1:110053750-110056250" "shared"
"48" "chr1:110060000-110062500" "AD"
"49" "chr1:110172500-110175000" "AD"
"50" "chr1:110175000-110177500" "shared"
"51" "chr1:110196250-110198750" "shared"
"52" "chr1:110197500-110200000" "shared"
"53" "chr1:110198750-110201250" "Ctrl"
"54" "chr1:110200000-110202500" "shared"
"55" "chr1:110208750-110211250" "AD"
"56" "chr1:110210000-110212500" "Ctrl"
"57" "chr1:110223750-110226250" "shared"
"58" "chr1:110231250-110233750" "shared"
"59" "chr1:1103750-1106250" "Ctrl"
"60" "chr1:11117500-11120000" "shared"
"61" "chr1:112412500-112415000" "shared"
"62" "chr1:112413750-112416250" "shared"
"63" "chr1:112601250-112603750" "shared"
"64" "chr1:112662500-112665000" "shared"
"65" "chr1:112698750-112701250" "Ctrl"
"66" "chr1:112703750-112706250" "shared"
"67" "chr1:112706250-112708750" "shared"
"68" "chr1:112713750-112716250" "shared"
"69" "chr1:113006250-113008750" "shared"
"70" "chr1:113022500-113025000" "shared"
"71" "chr1:113073750-113076250" "shared"
"72" "chr1:113758750-113761250" "Ctrl"
"73" "chr1:113906250-113908750" "shared"
"74" "chr1:11530000-11532500" "Ctrl"
"75" "chr1:11532500-11535000" "shared"
"76" "chr1:11535000-11537500" "AD"
"77" "chr1:115837500-115840000" "AD"
"78" "chr1:116371250-116373750" "shared"
"79" "chr1:11652500-11655000" "shared"
"80" "chr1:11660000-11662500" "shared"
"81" "chr1:11661250-11663750" "shared"
"82" "chr1:11662500-11665000" "AD"
"83" "chr1:11665000-11667500" "shared"
"84" "chr1:11667500-11670000" "shared"
"85" "chr1:11668750-11671250" "shared"
"86" "chr1:11672500-11675000" "shared"
"87" "chr1:116908750-116911250" "AD"
"88" "chr1:11785000-11787500" "shared"
"89" "chr1:11787500-11790000" "shared"
"90" "chr1:11788750-11791250" "shared"
"91" "chr1:11791250-11793750" "Ctrl"
"92" "chr1:11801250-11803750" "AD"
"93" "chr1:11805000-11807500" "AD"
"94" "chr1:11846250-11848750" "shared"
"95" "chr1:11921250-11923750" "shared"
"96" "chr1:11922500-11925000" "Ctrl"
"97" "chr1:11972500-11975000" "Ctrl"
"98" "chr1:11980000-11982500" "Ctrl"
"99" "chr1:12007500-12010000" "shared"
"100" "chr1:12010000-12012500" "shared"
"101" "chr1:12022500-12025000" "shared"
"102" "chr1:12025000-12027500" "shared"
"103" "chr1:120340000-120342500" "shared"
"104" "chr1:120413750-120416250" "shared"
"105" "chr1:120416250-120418750" "AD"
"106" "chr1:1205000-1207500" "Ctrl"
"107" "chr1:120912500-120915000" "shared"
"108" "chr1:120940000-120942500" "shared"
"109" "chr1:121183750-121186250" "shared"
"110" "chr1:1215000-1217500" "AD"
"111" "chr1:1216250-1218750" "Ctrl"
"112" "chr1:1218750-1221250" "shared"
"113" "chr1:12188750-12191250" "Ctrl"
"114" "chr1:1220000-1222500" "shared"
"115" "chr1:1231250-1233750" "Ctrl"
"116" "chr1:12500-15000" "shared"
"117" "chr1:12616250-12618750" "AD"
"118" "chr1:1272500-1275000" "shared"
"119" "chr1:1291250-1293750" "Ctrl"
"120" "chr1:1303750-1306250" "shared"
"121" "chr1:1306250-1308750" "shared"
"122" "chr1:1322500-1325000" "shared"
"123" "chr1:1327500-1330000" "shared"
"124" "chr1:1333750-1336250" "shared"
"125" "chr1:1335000-1337500" "shared"
"126" "chr1:133750-136250" "shared"
"127" "chr1:1347500-1350000" "shared"
"128" "chr1:135000-137500" "shared"
"129" "chr1:1357500-1360000" "shared"
"130" "chr1:13583750-13586250" "shared"
"131" "chr1:1360000-1362500" "shared"
"132" "chr1:137500-140000" "AD"
"133" "chr1:1398750-1401250" "Ctrl"
"134" "chr1:1417500-1420000" "AD"
"135" "chr1:1420000-1422500" "shared"
"136" "chr1:1427500-1430000" "shared"
"137" "chr1:1430000-1432500" "shared"
"138" "chr1:1433750-1436250" "shared"
"139" "chr1:1437500-1440000" "shared"
"140" "chr1:1440000-1442500" "AD"
"141" "chr1:144458750-144461250" "shared"
"142" "chr1:145167500-145170000" "shared"
"143" "chr1:145213750-145216250" "shared"
"144" "chr1:145743750-145746250" "shared"
"145" "chr1:145872500-145875000" "AD"
"146" "chr1:1458750-1461250" "AD"
"147" "chr1:145960000-145962500" "shared"
"148" "chr1:14597500-14600000" "shared"
"149" "chr1:1471250-1473750" "shared"
"150" "chr1:147171250-147173750" "shared"
"151" "chr1:1473750-1476250" "shared"
"152" "chr1:1476250-1478750" "shared"
"153" "chr1:147756250-147758750" "AD"
"154" "chr1:1478750-1481250" "Ctrl"
"155" "chr1:148143750-148146250" "shared"
"156" "chr1:148407500-148410000" "shared"
"157" "chr1:148418750-148421250" "shared"
"158" "chr1:149173750-149176250" "shared"
"159" "chr1:149175000-149177500" "shared"
"160" "chr1:149193750-149196250" "shared"
"161" "chr1:149606250-149608750" "shared"
"162" "chr1:149635000-149637500" "shared"
"163" "chr1:149641250-149643750" "shared"
"164" "chr1:149643750-149646250" "shared"
"165" "chr1:149902500-149905000" "shared"
"166" "chr1:149903750-149906250" "shared"
"167" "chr1:149927500-149930000" "shared"
"168" "chr1:15000-17500" "shared"
"169" "chr1:150157500-150160000" "shared"
"170" "chr1:150227500-150230000" "shared"
"171" "chr1:150231250-150233750" "shared"
"172" "chr1:150256250-150258750" "shared"
"173" "chr1:150260000-150262500" "AD"
"174" "chr1:150281250-150283750" "AD"
"175" "chr1:150306250-150308750" "shared"
"176" "chr1:150307500-150310000" "shared"
"177" "chr1:150308750-150311250" "shared"
"178" "chr1:150338750-150341250" "shared"
"179" "chr1:150341250-150343750" "shared"
"180" "chr1:150451250-150453750" "shared"
"181" "chr1:150505000-150507500" "AD"
"182" "chr1:150520000-150522500" "shared"
"183" "chr1:150536250-150538750" "shared"
"184" "chr1:150590000-150592500" "shared"
"185" "chr1:150611250-150613750" "shared"
"186" "chr1:150612500-150615000" "shared"
"187" "chr1:150616250-150618750" "shared"
"188" "chr1:150617500-150620000" "shared"
"189" "chr1:15063750-15066250" "shared"
"190" "chr1:150972500-150975000" "shared"
"191" "chr1:150993750-150996250" "shared"
"192" "chr1:151026250-151028750" "shared"
"193" "chr1:151028750-151031250" "shared"
"194" "chr1:151070000-151072500" "shared"
"195" "chr1:151077500-151080000" "shared"
"196" "chr1:151088750-151091250" "shared"
"197" "chr1:151090000-151092500" "shared"
"198" "chr1:151131250-151133750" "shared"
"199" "chr1:151142500-151145000" "shared"
"200" "chr1:151208750-151211250" "AD"
"201" "chr1:151210000-151212500" "shared"
"202" "chr1:151213750-151216250" "shared"
"203" "chr1:151225000-151227500" "shared"
"204" "chr1:151228750-151231250" "shared"
"205" "chr1:151255000-151257500" "shared"
"206" "chr1:151283750-151286250" "AD"
"207" "chr1:151291250-151293750" "shared"
"208" "chr1:151326250-151328750" "shared"
"209" "chr1:151416250-151418750" "shared"
"210" "chr1:151448750-151451250" "shared"
"211" "chr1:151451250-151453750" "shared"
"212" "chr1:151457500-151460000" "Ctrl"
"213" "chr1:1515000-1517500" "Ctrl"
"214" "chr1:1517500-1520000" "Ctrl"
"215" "chr1:151768750-151771250" "shared"
